Record_id,Attribute_name,y_pred,y_act,Reason,total_vals,num_nans,%_nans,mean_word_count,std_dev_word_count,has_delimeters,sample_1,sample_2,sample_3,sample_4,sample_5,pd_infer_type
38,publish_time,string,date datetime datetime64 time timedelta timedelta64 period,c,1111505,0,0.0,1.0,0.0,False,201107220633,201109071206,201108081024,201106150200,201111220503,datetime
38,headline_text,string,string mixed-integer mixed-integer-float,g,1111505,3,2.6990431891894323e-06,10.143410061133329,3.9062782088213592,True,Schwab Launches Consultative Program to Help Advisors Manage Profitability Through Client Segmentation,DIARY-S&P 500 EARNINGS FOR WEDNESDAY MARCH 30;2011,REG - Dialight PLC - Holding(s) in Company,IFR Preview-major US economic data for release June 24,REG-Small Co. Div. Tst - Net Asset Value(s),string
39,publish_time,string,date datetime datetime64 time timedelta timedelta64 period,c,1035896,0,0.0,1.0,0.0,False,201209241015,201203131601,201202081212,201201092356,201208241123,datetime
39,headline_text,string,string mixed-integer mixed-integer-float,g,1035896,6,5.792087236556567e-06,10.43806134978801,3.983174061091643,True,Caterpillar Updates 2015 Targets; Expects Profit Per Share of $12 to $18 with Sales and Revenues of $80 to $100 Billion,ATCO Ltd. Announces Ron Southern's Intention to Step Down as Chairman,PRESS DIGEST - Ireland - June 7,Research and Markets - Antibiotics Market in Europe to 2016 - Volumes; Values and Forecasts,ScanSource to Announce Fourth Quarter and Fiscal Year End 2012 Results on August 16; 2012,string
40,publish_time,string,date datetime datetime64 time timedelta timedelta64 period,c,761700,0,0.0,1.0,0.0,False,201311301835,201305080103,201307081217,201302121411,201311120925,datetime
40,headline_text,string,string mixed-integer mixed-integer-float,g,761700,33,4.332414336352895e-05,10.958383878167258,4.3387615808364055,True,France continues Mali air strikes and sends troops to Bamako,Galectin Therapeutics Submits Fast Track Application to FDA for GR-MD-02 in Treatment of Fatty Liver Disease with Advanced Fibrosis,Rhoen shareholders vote to scrap takeover hurdle,REG-db x-trackers MSCI ASIA EX JAPAN TRN INDEX ETF Net Asset Value(s),CyberLink to Showcase Industry-Leading Multimedia Software at IFA 2013<5203.TW>,string
41,publish_time,string,date datetime datetime64 time timedelta timedelta64 period,c,790855,0,0.0,1.0,0.0,False,201406300835,201405090830,201411010800,201409030332,201411210536,datetime
41,headline_text,string,string mixed-integer mixed-integer-float,g,790855,3,3.793362879415317e-06,11.219642032989613,4.4786139505494855,True,Hong Kong demands democracy,Storix(R) Releases System Backup Administrator Version 8.2,Danier Leather Reports Fiscal 2014 Third Quarter Results and Update on Its Strategic Plan,Orkla ASA - Mandatory notification of trade - Ingrid Jonasson Blank,athenahealth; Inc. to Present at the 2014 Wells Fargo Healthcare Conference,string
42,publish_time,string,date datetime datetime64 time timedelta timedelta64 period,c,807482,0,0.0,1.0,0.0,False,201507161530,201504091030,201507301050,201506261804,201512181600,datetime
42,headline_text,string,string mixed-integer mixed-integer-float,g,807482,1,1.2384176984750124e-06,11.18252295407204,4.418756040608037,True,Liquid Holdings Group to Announce Fourth Quarter and Full Year 2014 Results,REG-AQR Capital Management Form 8.3 - Steris Corporation,Bear State Financial; Inc. Completes Acquisition of Metropolitan National Bank and Names New CEO and Board Member,French spending watchdog sees risks to 2016; 2017 fiscal targets,REG-Songa Offshore SE - Report for the second quarter 2015,string
