Record_id,name,link
33,FAO.csv,https://www.kaggle.com/dorbicycle/world-foodfeed-production
34,kiva_loans.csv,https://www.kaggle.com/kiva/data-science-for-good-kiva-crowdfunding
35,kiva_mpi_region_locations.csv,https://www.kaggle.com/kiva/data-science-for-good-kiva-crowdfunding
36,loan_theme_ids.csv,https://www.kaggle.com/kiva/data-science-for-good-kiva-crowdfunding
37,loan_themes_by_region.csv,https://www.kaggle.com/kiva/data-science-for-good-kiva-crowdfunding
38,reuters-newswire-2011.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
39,reuters-newswire-2012.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
40,reuters-newswire-2013.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
41,reuters-newswire-2014.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
42,reuters-newswire-2015.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
43,reuters-newswire-2016.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
44,reuters-newswire-2017.csv,https://www.kaggle.com/therohk/reuters-news-wire-archive/version/4
45,2015.csv,https://www.kaggle.com/unsdsn/world-happiness
46,2016.csv,https://www.kaggle.com/unsdsn/world-happiness
47,2017.csv,https://www.kaggle.com/unsdsn/world-happiness
48,recipeData.csv,https://www.kaggle.com/jtrofe/beer-recipes
49,styleData.csv,https://www.kaggle.com/jtrofe/beer-recipes
50,african_conflicts.csv,https://www.kaggle.com/jboysen/african-conflicts
51,aac_shelter_cat_outcome_eng.csv,https://www.kaggle.com/aaronschlegel/austin-animal-center-shelter-outcomes-and
52,aac_shelter_outcomes.csv,https://www.kaggle.com/aaronschlegel/austin-animal-center-shelter-outcomes-and
53,articles1.csv,https://www.kaggle.com/snapcrack/all-the-news
54,articles2.csv,https://www.kaggle.com/snapcrack/all-the-news
55,articles3.csv,https://www.kaggle.com/snapcrack/all-the-news
